FID,OBJECTID,COMPKEY,STNAME_ORD,FLOWSEGID,DOWNTOWN,START_DATE,AMPK,PMPK,AWDT,ADT,AWDT_ROUND,DATAQUALIT,FLAGS,SegStatus,CreateDate,Creator,ModifiedDa,ID,STUDY_TITL,COMPKEY_1,UNIT_ID_UN,DIR_FLOW,LANE,DAYS,Min_NORM_A,Max_NORM_A,Ave_NORM_A,Shape_Leng,ADJUST,Shape__Length
1,3,10011,DENNY WAY,1051,B,6/21/2018 12:00:00 AM,1682,1599,24961,24976,24400,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,253.922340808, ,253.922340823367
2,6,22297,SW HENDERSON ST,107,N,1/24/2018 12:00:00 AM,513,639,6873,6569,6900,Study, , ,, ,,0, ,0, , , ,0,0,0,0,280.810945825, ,280.810945824839
3,7,"8640,1501,23058,23059","9TH AVE W,11TH AVE W,W BARRETT ST",1291,N,11/17/2015 12:00:00 AM,0,0,3332,3219,3300,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,1499.26716579, ,1499.26716579329
4,8,"20816,20815,20814",S MCCLELLAN ST,436,N,10/9/2018 12:00:00 AM,640,790,9081,8671,9100,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,787.671807154, ,787.671807169309
5,12,"14638,14639",E PINE ST,957,N,1/23/2018 12:00:00 AM,513,552,7380,7360,7400,Study, , ,, ,,0, ,0, , , ,0,0,0,0,644.215264513, ,644.215264498166
6,13,"16537,16538",NE 130TH ST,1901,N,5/1/2018 12:00:00 AM,2050,2161,27481,27224,25300,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,845.483537426, ,845.483537440737
7,16,"13083,13079,13087,13082,13084,339870,334520,13080,13086,13081,13085,7277,7276,7275,7274","TAYLOR AVE N,5TH AVE N",1224,N,11/3/2015 12:00:00 AM,0,0,5778,5352,5800,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,4626.61638313, ,4626.61638313034
8,18,9001,AURORA AVE N,1933,N,5/19/2015 12:00:00 AM,0,0,36039,33492,36000,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,113.508989979, ,113.508989978577
9,19,16934,NE 50TH ST,1505,N,10/4/2018 12:00:00 AM,944,1210,14219,13615,14200,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,280.117261115, ,280.117261100216
10,21,"10077,10076",DEXTER AVE N,1149,N,6/22/2018 12:00:00 AM,1097,1432,18307,17720,17900,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,311.401977187, ,311.401977187164
11,23,"10165,10164,10163",EASTLAKE AVE E,1966,N,1/9/2018 12:00:00 AM,664,855,8988,7897,9000,Study, , ,, ,,0, ,0, , , ,0,0,0,0,1244.55785939, ,1244.55785938505
12,27,7879,6TH AVE,781,Y,7/26/2018 12:00:00 AM,1373,1070,16705,15866,16200,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,306.001341033, ,306.001341040615
13,28,8650,SEATTLE BLVD S,547,N,,0,0,16000,0,16000,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,420.454585596, ,420.454585595815
14,29,"11662,11661",MARION ST,650,Y,7/18/2018 12:00:00 AM,501,582,7675,7523,7400,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,322.059521784, ,322.059521797286
15,32,"7338,7337,7336",5TH AVE NE,1898,N,5/1/2018 12:00:00 AM,598,858,8299,7995,7600,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,1325.40819004, ,1325.40819003623
